,ID neuron pop_B,event time pop_B
0,836,75.3
1,950,85.7
2,1033,86.9
3,1574,97.10000000000001
4,941,99.7
5,1262,102.9
6,808,103.9
7,814,108.5
8,1350,108.5
9,974,109.5
10,1155,110.8
11,1260,114.10000000000001
12,1351,115.8
13,1017,120.60000000000001
14,1456,123.10000000000001
15,878,125.0
16,1139,127.4
17,997,130.8
18,1176,131.5
19,982,132.5
20,1282,134.1
21,1213,137.70000000000002
22,1437,140.20000000000002
23,1352,142.5
24,860,143.5
25,904,144.6
26,1428,147.0
27,976,147.5
28,1461,150.9
29,1444,151.6
30,889,152.0
31,1533,152.0
32,1501,152.3
33,1582,152.3
34,1129,153.0
35,1402,155.3
36,832,155.4
37,1275,156.6
38,1167,157.0
39,1324,159.3
40,1445,161.9
41,1231,165.8
42,1423,166.1
43,1158,167.20000000000002
44,947,169.1
45,1558,174.0
46,1332,176.1
47,955,179.4
48,972,181.1
49,828,185.9
50,1353,187.70000000000002
51,1232,189.8
52,1314,190.4
53,1515,192.6
54,993,193.1
55,1229,194.3
56,931,195.3
57,1051,197.1
58,830,197.9
59,1318,202.3
60,922,203.5
61,1203,207.9
62,923,209.9
63,1094,217.8
64,1225,224.3
65,927,224.8
66,1154,225.0
67,1446,225.3
68,1195,227.8
69,1233,232.6
70,990,235.70000000000002
71,1116,235.8
72,1131,236.3
73,1257,241.6
74,1379,243.8
75,1592,246.1
76,868,247.1
77,1188,247.6
78,1031,248.5
79,1295,248.9
80,941,249.70000000000002
81,1397,251.1
82,1348,251.9
83,879,252.4
84,1585,253.70000000000002
85,968,254.20000000000002
86,1468,255.1
87,1162,259.7
88,1363,262.4
89,1118,264.4
90,920,264.7
91,1028,266.6
92,1153,268.5
93,1330,268.9
94,982,270.7
95,1053,272.1
96,882,274.2
97,876,274.7
98,1491,276.7
99,1002,276.8
100,926,277.0
101,1598,278.2
102,1450,278.5
103,1022,278.90000000000003
104,925,279.0
105,1533,279.40000000000003
106,817,279.90000000000003
107,1416,285.90000000000003
108,1178,289.40000000000003
109,996,290.3
110,1384,297.3
111,979,301.6
112,1109,302.2
113,1589,304.1
114,830,306.3
115,1022,308.5
116,1549,309.6
117,975,311.7
118,1567,312.1
119,1143,314.6
120,1319,319.3
121,856,321.6
122,1496,349.5
123,1157,352.2
124,1029,355.8
125,901,358.90000000000003
126,1544,361.0
127,1147,361.6
128,1563,367.8
129,1322,368.7
130,1476,378.6
131,1564,385.3
132,1042,390.6
133,1085,403.40000000000003
134,1135,406.7
135,987,414.0
136,1228,424.5
137,1582,425.8
138,1124,439.2
139,840,449.90000000000003
140,1199,455.5
141,1373,474.40000000000003
142,945,495.3
143,1416,512.4
144,1533,618.9
145,1472,654.8000000000001
146,1477,720.3000000000001
147,1051,731.5
148,1391,849.3000000000001
149,1015,890.9
150,1325,992.3000000000001
151,828,1007.6
152,1247,1104.6000000000001
153,868,1111.2
154,1506,1171.1000000000001
155,1180,1191.8
156,1136,1227.5
157,1520,1231.6000000000001
158,1048,1242.5
159,1387,1255.5
160,1040,1267.1000000000001
161,1018,1297.8
162,973,1323.9
163,1524,1327.1000000000001
164,983,1328.9
165,1437,1341.5
166,1481,1358.0
167,1186,1382.5
168,1598,1399.4
169,904,1408.8
170,1451,1414.5
171,1104,1419.5
172,1444,1422.6000000000001
