,ID neuron pop_B,event time pop_B
0,836,74.7
1,950,84.9
2,1033,86.8
3,1574,96.9
4,941,99.60000000000001
5,1456,99.7
6,1262,102.5
7,808,103.2
8,1350,108.10000000000001
9,814,108.2
10,974,109.0
11,1155,109.10000000000001
12,1407,111.2
13,852,112.5
14,1260,112.9
15,1351,115.0
16,1017,119.8
17,893,121.7
18,1180,122.9
19,878,123.9
20,1139,124.2
21,968,124.3
22,1179,127.3
23,932,127.60000000000001
24,997,129.5
25,1176,130.6
26,1282,131.3
27,982,131.8
28,1371,132.5
29,1213,137.0
30,1437,139.0
31,1231,139.9
32,1352,140.0
33,1006,140.3
34,1137,141.5
35,860,142.3
36,904,143.9
37,1076,144.8
38,976,144.9
39,1365,145.4
40,1428,146.1
41,1129,146.20000000000002
42,1049,149.0
43,1501,149.70000000000002
44,1360,149.8
45,1461,150.4
46,1533,150.8
47,1444,150.9
48,1582,151.20000000000002
49,1320,151.4
50,889,151.8
51,1167,154.3
52,1402,154.4
53,832,154.6
54,1334,155.3
55,1275,156.9
56,1324,158.9
57,1154,159.6
58,1445,160.9
59,1423,163.1
60,1158,164.6
61,1282,165.5
62,947,166.5
63,955,169.0
64,1096,170.3
65,1537,170.3
66,1235,170.9
67,1558,171.3
68,1473,171.70000000000002
69,1332,172.3
70,854,172.70000000000002
71,972,174.8
72,1169,175.4
73,1083,175.5
74,1131,175.9
75,1038,178.20000000000002
76,1203,179.20000000000002
77,828,179.4
78,1576,181.8
79,836,182.0
80,875,182.4
81,1229,183.9
82,1011,184.20000000000002
83,946,184.8
84,1232,186.6
85,1353,186.6
86,1561,187.9
87,1595,188.70000000000002
88,886,188.9
89,1314,189.3
90,1499,189.3
91,1284,190.0
92,1515,190.1
93,1100,190.3
94,993,190.6
95,1517,190.8
96,931,191.4
97,1319,191.4
98,1086,191.6
99,1113,191.70000000000002
100,1051,192.70000000000002
101,959,193.5
102,1379,193.8
103,830,195.0
104,819,195.20000000000002
105,1233,195.20000000000002
106,920,196.5
107,1290,198.20000000000002
108,1589,198.9
109,1248,199.70000000000002
110,1318,199.70000000000002
111,922,199.9
112,1520,200.4
113,923,203.6
114,1128,205.6
115,1516,206.9
116,1258,208.4
117,953,211.3
118,927,212.1
119,1306,212.5
120,1225,213.70000000000002
121,1432,214.5
122,1397,214.70000000000002
123,1203,214.8
124,1195,215.20000000000002
125,1291,215.3
126,1094,215.70000000000002
127,811,216.4
128,909,216.5
129,1121,218.0
130,1384,218.0
131,1495,219.4
132,1031,220.8
133,1446,221.0
134,1154,222.4
135,1029,222.9
136,915,223.0
137,1255,223.20000000000002
138,1277,225.6
139,823,226.70000000000002
140,1009,227.0
141,1168,227.6
142,1010,229.9
143,965,231.4
144,990,231.6
145,951,232.20000000000002
146,1542,233.1
147,1116,233.5
148,1439,234.4
149,1089,234.8
150,1257,234.8
151,1131,235.8
152,1405,236.70000000000002
153,1233,236.9
154,1122,238.0
155,1531,239.3
156,868,241.5
157,1188,242.20000000000002
158,870,242.4
159,1348,244.0
160,999,244.4
161,1592,245.3
162,840,246.0
163,941,248.4
164,1295,248.6
165,879,248.8
166,1468,249.8
167,1362,250.20000000000002
168,1379,250.20000000000002
169,968,250.3
170,938,250.6
171,1209,250.8
172,1061,251.0
173,813,251.6
174,1585,251.6
175,806,252.3
176,1210,252.5
177,1021,256.6
178,1118,257.6
179,1206,257.9
180,1455,258.7
181,1436,260.1
182,1162,260.4
183,1363,260.8
184,1321,261.3
185,939,262.2
186,858,263.1
187,1028,264.0
188,927,264.2
189,1153,264.3
190,920,265.3
191,1330,266.0
192,1002,267.1
193,943,267.9
194,1445,269.2
195,1053,269.5
196,1204,269.6
197,982,269.8
198,882,272.1
199,1491,272.1
200,876,274.1
201,925,274.3
202,926,274.6
203,1022,274.90000000000003
204,1559,275.6
205,1598,276.0
206,1193,276.40000000000003
207,1533,276.6
208,1450,277.0
209,817,277.6
210,1178,277.8
211,1234,278.0
212,1006,279.3
213,1510,279.3
214,1585,280.1
215,1416,280.90000000000003
216,843,281.3
217,1269,281.90000000000003
218,1031,284.40000000000003
219,1247,284.90000000000003
220,1160,285.5
221,1497,285.90000000000003
222,1591,287.3
223,839,287.40000000000003
224,996,287.90000000000003
225,1260,288.2
226,1549,288.6
227,1282,288.7
228,1039,289.40000000000003
229,929,292.2
230,1047,293.6
231,1303,293.7
232,856,294.2
233,1343,294.6
234,979,294.7
235,1109,296.40000000000003
236,1384,296.7
237,1201,298.2
238,1589,299.3
239,1402,301.2
240,978,301.7
241,830,301.8
242,1564,301.8
243,901,301.90000000000003
244,1022,302.7
245,1448,304.3
246,1103,304.8
247,1490,305.1
248,925,305.40000000000003
249,848,307.1
250,975,307.3
251,1161,307.3
252,1017,307.40000000000003
253,1102,307.8
254,1567,307.8
255,989,307.90000000000003
256,862,308.8
257,999,309.90000000000003
258,812,310.2
259,1143,310.7
260,1092,311.2
261,815,313.3
262,1319,313.5
263,990,313.7
264,1489,314.7
265,1170,315.3
266,1203,315.7
267,1439,316.3
268,869,316.90000000000003
269,984,317.3
270,1464,317.3
271,969,318.8
272,1367,319.3
273,1356,321.3
274,1113,322.0
275,1582,322.0
276,1496,322.90000000000003
277,1016,324.1
278,1173,325.7
279,1069,325.90000000000003
280,856,326.0
281,1345,326.8
282,1293,326.90000000000003
283,1256,328.1
284,1001,329.2
285,1142,329.2
286,934,330.8
287,1365,331.0
288,1306,331.2
289,1400,331.3
290,1189,331.6
291,1040,332.40000000000003
292,912,333.3
293,1031,333.3
294,1145,333.40000000000003
295,1568,333.6
296,1289,333.7
297,944,333.90000000000003
298,1117,334.3
299,952,334.5
300,1561,335.3
301,1371,335.40000000000003
302,1418,335.40000000000003
303,1358,336.2
304,1468,336.40000000000003
305,825,336.6
306,1324,337.0
307,1209,337.1
308,905,337.3
309,1428,339.0
310,1563,339.6
311,1438,340.40000000000003
312,855,340.6
313,1533,341.0
314,1106,342.0
315,1422,342.6
316,1156,342.90000000000003
317,881,344.3
318,1157,346.5
319,1012,347.2
320,1029,350.6
321,1122,352.3
322,1279,353.90000000000003
323,1496,353.90000000000003
324,844,354.1
325,1304,354.5
326,820,354.90000000000003
327,1155,355.2
328,994,355.3
329,1022,355.40000000000003
330,1442,355.40000000000003
331,901,357.1
332,1216,357.40000000000003
333,1544,357.8
334,931,357.90000000000003
335,987,358.6
336,1147,359.0
337,1488,359.3
338,1490,360.2
339,1331,360.6
340,1042,360.7
341,1094,360.8
342,1275,360.90000000000003
343,1417,361.0
344,993,361.5
345,1134,361.6
346,882,361.7
347,1322,362.7
348,893,364.40000000000003
349,1242,367.6
350,1226,369.0
351,1476,369.0
352,835,369.2
353,1114,369.6
354,802,370.5
355,1432,372.5
356,1479,372.5
357,1378,374.2
358,1406,375.90000000000003
359,1078,376.0
360,805,376.7
361,848,377.0
362,1564,378.0
363,1563,378.5
364,1600,378.7
365,1273,380.1
366,1240,380.5
367,1529,380.90000000000003
368,832,381.0
369,1230,381.2
370,1583,381.3
371,1473,381.40000000000003
372,1461,381.7
373,1431,382.0
374,813,382.2
375,1098,382.2
376,1162,383.2
377,1443,383.40000000000003
378,1143,383.6
379,889,384.6
380,819,384.7
381,1085,385.2
382,929,386.0
383,1087,386.6
384,867,387.1
385,1043,387.3
386,1396,387.40000000000003
387,1578,387.40000000000003
388,1220,387.5
389,1002,387.7
390,902,388.2
391,1495,388.40000000000003
392,1561,388.7
393,1108,389.2
394,1125,389.40000000000003
395,916,390.2
396,825,390.40000000000003
397,1395,390.7
398,1491,391.3
399,1042,391.5
400,1147,392.3
401,1459,392.3
402,1262,392.40000000000003
403,1267,392.40000000000003
404,1217,392.5
405,1460,392.5
406,1238,393.6
407,1111,394.6
408,1402,396.40000000000003
409,1092,397.90000000000003
410,1073,398.90000000000003
411,884,399.3
412,1499,399.5
413,1539,400.3
414,868,400.5
415,1135,400.90000000000003
416,1568,401.2
417,1315,401.6
418,1157,402.3
419,908,402.90000000000003
420,1201,403.7
421,1487,403.7
422,989,404.1
423,1345,404.3
424,923,404.7
425,1383,405.3
426,1467,405.40000000000003
427,1065,406.5
428,1507,406.6
429,1330,406.8
430,987,406.90000000000003
431,1234,406.90000000000003
432,814,407.6
433,1445,407.90000000000003
434,922,411.1
435,1027,411.8
436,1350,411.8
437,1146,411.90000000000003
438,1019,412.8
439,1556,413.5
440,1289,413.6
441,1233,414.0
442,1085,414.40000000000003
443,1451,415.0
444,948,415.6
445,1198,415.8
446,1009,415.90000000000003
447,1430,415.90000000000003
448,900,416.2
449,1281,416.2
450,1334,416.5
451,1582,416.7
452,1216,416.90000000000003
453,1228,417.1
454,1102,417.3
455,831,417.5
456,1555,418.1
457,1564,418.1
458,874,418.3
459,1509,418.3
460,1062,418.40000000000003
461,1261,418.90000000000003
462,1415,419.40000000000003
463,1161,419.5
464,1546,419.90000000000003
465,1003,420.3
466,1286,421.1
467,1584,421.3
468,1433,421.5
469,1282,422.1
470,1274,422.40000000000003
471,1005,422.6
472,964,423.5
473,1124,424.8
474,894,425.8
475,1022,427.7
476,1264,427.7
477,1128,429.5
478,881,430.0
479,907,430.40000000000003
480,1457,430.5
481,1309,431.5
482,882,432.2
483,966,432.40000000000003
484,1545,432.8
485,1292,433.5
486,1244,433.90000000000003
487,1481,434.0
488,1189,434.5
489,1554,434.7
490,946,435.1
491,1118,435.7
492,840,436.5
493,1105,436.8
494,1053,439.6
495,822,439.7
496,805,443.8
497,973,444.0
498,1197,444.2
499,1579,444.3
500,1135,445.90000000000003
501,959,446.0
502,1421,446.5
503,923,446.90000000000003
504,1107,447.2
505,960,447.7
506,954,447.90000000000003
507,1443,448.0
508,1431,448.90000000000003
509,1199,449.5
510,833,450.8
511,1248,451.2
512,1486,451.5
513,1151,451.7
514,1187,451.8
515,820,453.6
516,1096,453.7
517,1334,454.1
518,1411,454.3
519,1163,454.40000000000003
520,1341,454.40000000000003
521,1458,455.1
522,905,455.2
523,1424,456.3
524,1472,456.40000000000003
525,977,457.1
526,985,457.2
527,1269,457.3
528,829,457.5
529,991,458.6
530,1262,458.6
531,1358,458.7
532,1373,459.2
533,1560,459.5
534,1101,459.6
535,1581,460.0
536,852,460.8
537,1416,462.3
538,840,462.6
539,888,463.7
540,1437,463.90000000000003
541,866,464.40000000000003
542,1508,465.3
543,1366,465.40000000000003
544,1328,465.6
545,1049,465.8
546,1557,466.0
547,1481,466.1
548,918,466.3
549,1434,467.2
550,988,468.1
551,1139,468.2
552,1318,468.40000000000003
553,979,468.5
554,1016,468.5
555,879,468.8
556,1110,469.1
557,1076,469.2
558,893,469.40000000000003
559,1392,469.40000000000003
560,1335,469.8
561,1222,470.1
562,1065,470.3
563,1177,470.5
564,855,471.2
565,945,471.7
566,1357,471.8
567,964,472.1
568,1317,472.3
569,821,472.8
570,967,473.3
571,895,473.5
572,812,473.8
573,1045,474.90000000000003
574,849,475.2
575,1245,475.6
576,1135,475.7
577,1155,476.1
578,953,476.5
579,1089,476.5
580,1254,476.90000000000003
581,1082,477.6
582,1129,477.8
583,870,477.90000000000003
584,1283,477.90000000000003
585,1304,478.0
586,909,478.1
587,969,478.90000000000003
588,1066,479.0
589,1227,479.2
590,968,479.6
591,1401,479.90000000000003
592,1012,480.0
593,1207,480.6
594,1251,480.6
595,823,481.8
596,940,482.40000000000003
597,1100,483.0
598,1591,483.1
599,997,483.6
600,1030,483.7
601,1131,483.7
602,1200,483.90000000000003
603,1011,484.8
604,1533,484.90000000000003
605,803,485.2
606,819,485.7
607,1337,486.0
608,1078,486.2
609,1331,486.2
610,1502,486.6
611,958,486.90000000000003
612,1122,486.90000000000003
613,822,487.3
614,1197,487.40000000000003
615,1453,487.40000000000003
616,1205,487.6
617,859,487.7
618,1216,488.1
619,1278,488.2
620,1387,488.2
621,1578,488.2
622,1281,488.40000000000003
623,1517,489.1
624,1053,489.3
625,944,489.5
626,1244,490.0
627,955,490.6
628,1196,490.8
629,1543,491.2
630,858,491.3
631,1349,491.90000000000003
632,1228,492.3
633,1234,492.5
634,1105,493.1
635,1527,493.40000000000003
636,1383,493.5
637,950,493.8
638,1092,494.8
639,1124,495.0
640,1600,495.90000000000003
641,945,496.40000000000003
642,1125,496.6
643,1161,496.7
644,1291,496.7
645,901,497.0
646,1300,497.3
647,1314,497.5
648,1265,498.0
649,1385,498.0
650,1083,498.5
651,1305,498.5
652,1220,498.7
653,1176,498.90000000000003
654,831,499.2
655,1429,499.2
656,1246,499.40000000000003
657,1416,499.6
658,1446,499.6
659,1497,500.3
