,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.5
7,70.0,0.0,0.5
8,80.0,0.5,1.0
9,90.0,2.0,1.0
10,100.0,5.5,3.0
11,110.0,5.5,1.0
12,120.0,4.0,4.5
13,130.0,5.5,2.0
14,140.0,5.0,6.0
15,150.0,7.000000000000001,7.000000000000001
16,160.0,7.5,2.5
17,170.0,6.500000000000001,3.5000000000000004
18,180.0,9.5,1.0
19,190.0,12.0,3.0
20,200.0,7.000000000000001,2.5
21,210.0,9.0,1.5
22,220.0,10.499999999999998,3.5000000000000004
23,230.0,12.0,2.5
24,240.0,14.000000000000002,3.0
25,250.0,8.5,3.0
26,260.0,6.0,3.5000000000000004
27,270.0,10.0,6.500000000000001
28,280.0,7.5,3.0
29,290.0,12.5,2.0
30,300.0,10.0,5.5
31,310.0,12.0,3.0
32,320.0,13.500000000000002,4.0
33,330.0,11.5,3.0
34,340.0,4.0,4.0
35,350.0,12.0,3.5000000000000004
36,360.0,11.0,4.5
37,370.0,10.0,4.5
38,380.0,20.0,7.5
39,390.0,6.0,1.5
40,400.0,14.000000000000002,4.0
41,410.0,19.5,3.5000000000000004
42,420.0,14.000000000000002,2.0
43,430.0,15.0,2.0
44,440.0,11.0,1.5
45,450.0,16.0,2.5
46,460.0,20.0,3.5000000000000004
47,470.0,19.5,3.0
48,480.0,19.0,1.0
49,490.0,11.0,1.0
50,500.0,22.0,2.0
51,510.0,16.5,3.0
52,520.0,9.5,2.0
53,530.0,15.0,2.5
54,540.0,20.0,1.5
55,550.0,13.000000000000002,1.0
56,560.0,25.500000000000004,2.0
57,570.0,17.499999999999996,0.5
58,580.0,20.999999999999996,1.5
59,590.0,16.0,1.0
60,600.0,11.5,0.5
61,610.0,31.0,1.0
62,620.0,12.0,0.0
63,630.0,40.0,0.5
64,640.0,6.0,0.0
65,650.0,31.0,0.0
66,660.0,11.5,0.0
67,670.0,16.0,0.0
68,680.0,15.5,0.0
