,ID neuron pop_A,event time pop_A
0,276,66.0
1,423,86.60000000000001
2,519,92.60000000000001
3,570,98.3
4,439,98.4
5,585,99.10000000000001
6,460,101.2
7,31,103.0
8,651,103.9
9,445,104.3
10,288,106.10000000000001
11,747,106.60000000000001
12,534,107.10000000000001
13,140,109.7
14,584,110.5
15,514,114.5
16,199,115.9
17,482,116.8
18,539,117.8
19,211,119.8
20,210,122.7
21,131,124.0
22,750,124.8
23,612,125.0
24,452,125.7
25,781,126.3
26,69,126.5
27,159,129.9
28,52,130.9
29,107,131.7
30,29,132.8
31,619,134.5
32,698,136.2
33,581,138.20000000000002
34,740,138.70000000000002
35,168,140.20000000000002
36,326,140.6
37,24,141.20000000000002
38,694,147.4
39,15,147.5
40,434,148.70000000000002
41,590,149.20000000000002
42,80,150.20000000000002
43,111,152.0
44,414,152.8
45,206,156.70000000000002
46,681,157.1
47,370,159.5
48,548,160.3
49,507,160.5
50,786,161.20000000000002
51,538,162.20000000000002
52,610,162.3
53,38,162.6
54,212,165.9
55,216,167.0
56,729,167.0
57,30,167.8
58,66,167.8
59,395,168.0
60,634,169.0
61,521,169.70000000000002
62,299,171.5
63,517,171.8
64,762,172.8
65,292,173.20000000000002
66,17,173.6
67,326,173.70000000000002
68,595,173.70000000000002
69,26,173.9
70,51,174.3
71,106,175.3
72,490,175.5
73,188,177.1
74,502,178.8
75,642,179.8
76,609,181.5
77,389,183.1
78,385,183.3
79,391,183.9
80,87,184.0
81,725,184.6
82,444,185.1
83,525,185.5
84,625,185.8
85,646,185.8
86,267,186.3
87,504,186.5
88,124,186.8
89,311,187.4
90,783,187.6
91,332,187.8
92,179,187.9
93,598,187.9
94,273,188.4
95,279,188.6
96,563,188.6
97,64,189.6
98,74,190.1
99,11,190.4
100,674,191.0
101,353,191.3
102,157,191.70000000000002
103,172,192.4
104,398,192.5
105,491,193.4
106,492,193.6
107,24,194.5
108,549,195.5
109,758,195.8
110,728,196.8
111,282,197.0
112,770,197.4
113,250,197.8
114,280,197.9
115,716,198.4
116,767,198.4
117,488,200.70000000000002
118,552,201.3
119,777,201.3
120,484,203.20000000000002
121,265,205.70000000000002
122,591,206.8
123,91,207.20000000000002
124,749,207.5
125,799,207.6
126,319,208.9
127,360,210.9
128,136,214.70000000000002
129,483,215.1
130,224,215.70000000000002
131,784,215.70000000000002
132,313,216.1
133,65,216.4
134,764,216.9
135,415,217.4
136,456,217.4
137,422,217.8
138,278,218.0
139,298,218.0
140,649,219.1
141,123,219.5
142,390,220.1
143,419,224.70000000000002
144,671,224.8
145,235,225.8
146,606,227.0
147,722,227.20000000000002
148,725,227.70000000000002
149,211,227.8
150,561,228.6
151,647,229.8
152,102,229.9
153,98,231.20000000000002
154,587,231.5
155,92,231.6
156,234,235.0
157,728,235.8
158,534,237.0
159,590,237.0
160,500,237.20000000000002
161,445,237.3
162,672,237.8
163,94,238.0
164,405,238.4
165,251,239.4
166,82,239.9
167,444,240.4
168,188,240.9
169,212,241.5
170,292,241.6
171,275,242.20000000000002
172,403,242.9
173,586,244.5
174,227,245.70000000000002
175,337,246.1
176,666,248.4
177,187,248.6
178,249,248.9
179,697,248.9
180,592,249.70000000000002
181,733,249.8
182,383,250.70000000000002
183,751,251.3
184,115,251.4
185,65,252.3
186,392,252.3
187,777,252.8
188,505,254.5
189,646,258.5
190,472,259.2
191,353,260.9
192,447,261.1
193,268,262.5
194,702,264.1
195,267,269.7
196,219,276.6
197,304,276.90000000000003
198,724,277.2
199,191,278.5
200,244,278.6
201,355,279.1
202,211,279.5
203,722,280.90000000000003
204,299,281.6
205,377,282.1
206,518,282.6
207,700,282.6
208,367,282.7
209,746,283.40000000000003
210,537,283.90000000000003
211,285,285.0
212,121,285.90000000000003
213,413,285.90000000000003
214,516,286.5
215,395,286.6
216,338,287.2
217,365,290.0
218,581,290.3
219,311,290.40000000000003
220,623,290.90000000000003
221,759,291.5
222,113,293.7
223,670,296.6
224,464,297.7
225,372,298.0
226,672,298.40000000000003
227,630,299.0
228,336,299.90000000000003
229,704,300.5
230,485,300.7
231,42,302.3
232,356,302.8
233,302,303.1
234,776,303.40000000000003
235,205,304.0
236,371,304.40000000000003
237,224,305.1
238,562,307.1
239,216,307.6
240,124,308.8
241,161,308.8
242,168,309.0
243,616,309.5
244,71,310.3
245,1,311.6
246,96,311.6
247,714,311.8
248,166,312.7
249,238,312.8
250,690,312.8
251,346,313.40000000000003
252,249,314.40000000000003
253,384,315.5
254,386,316.1
255,310,316.2
256,677,317.40000000000003
257,398,317.8
258,515,319.5
259,549,319.5
260,774,319.6
261,290,320.90000000000003
262,661,321.2
263,680,323.40000000000003
264,670,324.90000000000003
265,447,328.40000000000003
266,548,331.0
267,272,331.7
268,345,332.0
269,449,332.0
270,731,332.1
271,728,332.6
272,160,333.2
273,754,333.40000000000003
274,786,334.2
275,104,335.3
276,582,335.7
277,132,336.1
278,474,336.2
279,595,336.8
280,20,337.0
281,428,340.2
282,705,342.6
283,638,347.90000000000003
284,110,348.1
285,423,350.8
286,619,356.2
287,545,357.8
288,473,358.90000000000003
289,496,359.90000000000003
290,320,360.40000000000003
291,759,360.40000000000003
292,318,361.7
293,718,362.0
294,300,362.40000000000003
295,180,363.8
296,479,364.2
297,594,366.3
298,698,367.6
299,426,368.0
300,271,370.0
301,484,373.5
302,432,373.7
303,482,374.40000000000003
304,769,375.40000000000003
305,200,375.5
306,399,376.7
307,635,376.8
308,22,377.0
309,503,378.3
310,572,378.8
311,768,381.40000000000003
312,467,383.2
313,328,383.90000000000003
314,793,383.90000000000003
315,243,385.7
316,731,386.7
317,310,387.0
318,493,390.2
319,705,390.5
320,284,391.2
321,462,392.0
322,241,392.6
323,166,393.8
324,142,395.7
325,56,395.90000000000003
326,20,396.0
327,276,396.1
328,125,397.7
329,524,398.2
330,432,398.90000000000003
331,726,398.90000000000003
332,697,399.6
333,570,400.5
334,684,402.90000000000003
335,298,403.2
336,296,403.8
337,663,404.0
338,283,404.7
339,139,405.5
340,215,406.1
341,440,407.6
342,703,407.6
343,133,409.90000000000003
344,685,411.7
345,637,411.90000000000003
346,488,412.6
347,214,412.7
348,90,413.1
349,438,413.6
350,797,413.90000000000003
351,186,416.7
352,592,416.8
353,800,417.40000000000003
354,666,419.5
355,228,420.2
356,175,421.7
357,752,421.90000000000003
358,633,422.3
359,88,422.40000000000003
360,172,425.7
361,443,426.0
362,194,426.3
363,160,427.3
364,26,428.1
365,280,428.1
366,331,428.2
367,167,431.0
368,377,431.6
369,13,431.7
370,134,432.1
371,607,433.2
372,623,433.3
373,485,434.0
374,667,434.0
375,181,435.1
376,701,435.8
377,785,436.2
378,86,437.90000000000003
379,744,441.6
380,433,442.2
381,139,443.1
382,650,443.2
383,165,443.5
384,509,444.40000000000003
385,60,444.7
386,597,446.0
387,178,448.1
388,340,450.2
389,116,452.3
390,154,452.5
391,305,452.8
392,606,454.6
393,308,456.8
394,332,458.40000000000003
395,513,459.6
396,24,467.90000000000003
397,529,468.6
398,448,468.7
399,90,470.8
400,135,471.1
401,246,471.8
402,683,473.40000000000003
403,563,473.5
404,197,473.7
405,764,474.40000000000003
406,115,474.6
407,46,474.7
408,357,474.90000000000003
409,309,476.40000000000003
410,159,479.6
411,34,482.1
412,612,482.8
413,328,484.3
414,600,489.0
415,671,489.8
416,164,489.90000000000003
417,38,490.2
418,176,491.6
419,795,491.90000000000003
420,219,492.1
421,186,493.90000000000003
422,696,497.1
423,638,497.6
424,293,498.3
425,77,498.8
426,799,499.2
427,752,500.40000000000003
428,779,500.40000000000003
429,204,500.8
430,42,503.2
431,758,508.5
432,703,514.8
433,592,515.1
434,379,515.2
435,670,516.9
436,572,518.3
437,66,518.4
438,359,521.9
439,109,523.4
440,461,524.2
441,490,524.7
442,268,525.0
443,387,525.2
444,267,526.9
445,770,527.8
446,625,528.3
447,381,528.7
448,250,530.5
449,178,532.7
450,285,532.7
451,781,533.7
452,573,535.3
453,36,536.6
454,46,540.4
455,213,540.4
456,283,542.7
457,111,543.6
458,794,546.0
459,370,546.9
460,365,547.3000000000001
461,533,548.5
462,757,548.7
463,551,549.4
464,755,549.4
465,228,550.4
466,55,552.3000000000001
467,233,552.3000000000001
468,206,553.7
469,281,553.8000000000001
470,654,555.2
471,724,555.7
472,366,555.9
473,747,555.9
474,81,557.0
475,244,558.9
476,86,560.6
477,214,562.5
478,621,565.7
479,24,568.9
480,600,568.9
481,13,571.1
482,179,571.3000000000001
483,464,576.8000000000001
484,397,577.9
485,391,578.9
486,335,579.9
487,604,582.1
488,208,582.6
489,624,584.8000000000001
490,76,584.9
491,636,585.1
492,705,586.2
493,696,586.5
494,537,587.7
495,373,596.3000000000001
496,617,597.5
497,658,598.9
498,485,602.6
499,417,605.0
500,314,615.0
501,576,615.0
502,777,615.3000000000001
503,382,616.6
504,645,618.1
505,420,619.7
506,544,620.1
507,270,620.5
508,528,622.3000000000001
509,85,625.1
510,687,631.2
511,374,634.3000000000001
512,468,634.8000000000001
513,652,636.5
514,214,637.1
515,93,640.0
516,799,641.8000000000001
517,354,642.2
518,523,644.1
519,457,645.4
520,437,649.5
521,589,654.6
522,345,662.1
523,532,664.0
524,290,664.8000000000001
525,333,675.5
526,415,678.9
527,693,694.1
528,101,701.2
529,310,702.1
530,596,703.7
531,63,705.9
532,506,709.5
533,629,712.3000000000001
534,610,712.4
535,665,713.2
536,753,714.0
537,189,714.9
538,692,715.3000000000001
539,507,715.5
540,572,721.6
541,666,721.9
542,281,722.2
543,421,725.1
544,530,726.7
545,393,731.8000000000001
546,616,732.1
547,429,734.5
548,173,740.4
549,258,742.9
550,319,744.6
551,494,751.8000000000001
552,456,766.0
553,694,779.8000000000001
554,429,786.2
555,460,787.2
556,414,801.6
557,740,811.3000000000001
558,253,814.6
559,178,815.3000000000001
560,652,819.3000000000001
561,184,828.7
562,585,835.1
563,544,836.3000000000001
564,206,839.0
565,697,847.2
566,108,848.2
567,10,878.1
568,361,878.5
569,44,892.6
570,590,894.4
571,775,901.4
572,461,903.9
573,446,915.9
574,105,930.4
575,25,932.1
576,599,957.7
577,200,958.8000000000001
578,527,961.0
579,159,970.1
580,341,993.4
581,232,999.9
582,330,1005.6
583,529,1022.7
584,770,1063.6
585,762,1156.0
586,84,1176.4
587,238,1192.3
588,242,1196.1000000000001
589,1,1198.4
590,318,1207.2
591,194,1235.6000000000001
592,549,1247.4
593,553,1253.4
594,603,1254.0
595,752,1257.2
596,10,1262.9
597,559,1263.2
598,273,1285.7
599,310,1291.4
600,259,1294.5
601,586,1297.2
602,471,1299.9
603,101,1309.5
604,785,1322.2
605,76,1328.2
606,266,1335.5
607,111,1338.0
608,24,1339.5
609,186,1346.7
610,562,1348.2
611,165,1348.5
612,588,1351.1000000000001
613,764,1351.2
614,757,1353.4
615,666,1353.7
616,585,1354.9
617,345,1355.9
618,424,1359.7
619,202,1360.1000000000001
620,361,1365.0
621,525,1369.7
622,31,1384.0
623,300,1428.9
624,748,1430.6000000000001
625,165,1433.9
626,397,1439.8
627,729,1440.1000000000001
628,567,1440.8
629,632,1456.0
630,486,1489.2
631,301,1500.5
632,734,1503.2
633,610,1507.7
634,549,1518.0
635,658,1518.4
636,137,1520.9
637,358,1527.5
638,470,1527.9
639,713,1541.6000000000001
640,58,1544.4
641,525,1551.3
642,259,1575.2
643,354,1591.6000000000001
644,663,1592.9
645,288,1597.2
646,67,1598.5
647,713,1601.6000000000001
648,362,1623.8
649,342,1630.6000000000001
650,345,1642.1000000000001
651,46,1643.9
652,463,1647.0
653,189,1647.8
654,231,1655.8
655,534,1659.0
656,451,1681.3
657,323,1685.6000000000001
658,517,1688.0
659,158,1694.4
660,703,1707.2
661,135,1726.2
662,707,1743.2
663,348,1753.3
664,564,1768.4
665,174,1775.4
666,216,1777.1000000000001
667,98,1796.7
668,157,1804.4
669,5,1824.8
670,346,1824.8
671,265,1835.0
672,61,1839.6000000000001
673,703,1840.2
674,256,1841.7
675,786,1842.6000000000001
676,96,1855.1000000000001
677,267,1872.2
678,487,1873.7
679,394,1879.1000000000001
680,295,1887.5
681,222,1895.0
682,497,1898.6000000000001
683,375,1900.3
684,281,1901.6000000000001
685,545,1913.1000000000001
686,769,1934.0
687,397,1934.5
688,754,1935.4
689,221,1935.5
690,482,1936.9
691,164,1938.3
692,768,1960.2
693,409,1962.3
694,704,1964.4
695,658,1966.8
696,345,1969.1000000000001
697,309,1973.3
698,522,1973.3
699,729,1974.1000000000001
700,618,1974.3
701,306,1978.3
702,607,1984.3
703,760,1984.9
704,237,1994.9
705,41,2003.0
706,289,2006.2
707,53,2016.4
708,27,2021.4
709,82,2029.3
710,494,2030.6000000000001
711,398,2033.3
712,797,2042.8
713,414,2047.5
714,249,2047.6000000000001
715,631,2048.9
716,576,2051.9
717,493,2052.2
718,407,2054.1
719,483,2054.9
720,703,2060.1
721,711,2063.1
722,312,2066.1
723,153,2066.9
724,572,2069.4
725,747,2070.3
726,472,2074.6
727,532,2079.5
728,470,2084.1
729,149,2089.5
730,769,2090.4
731,784,2091.9
732,550,2093.3
733,612,2094.6
734,92,2098.3
735,603,2100.1
736,408,2100.7
737,690,2104.4
738,129,2105.2
739,358,2110.9
740,33,2112.1
741,16,2119.2
742,505,2120.8
743,52,2122.7
744,696,2129.1
745,125,2130.1
746,426,2141.3
747,567,2143.7
748,14,2144.6
749,713,2147.7
750,661,2148.8
751,278,2161.4
752,720,2166.3
753,185,2170.9
754,232,2171.8
755,450,2172.4
756,523,2178.5
757,487,2179.8
758,271,2180.2
759,221,2181.0
760,106,2181.3
761,195,2188.3
762,293,2194.0
763,386,2218.3
764,149,2220.7000000000003
765,286,2224.7000000000003
766,387,2225.0
767,412,2226.1
768,186,2226.3
769,597,2229.2000000000003
770,169,2230.0
771,574,2230.5
772,690,2230.6
773,566,2232.5
774,20,2233.0
775,289,2239.2000000000003
776,673,2241.7000000000003
777,477,2244.3
778,768,2244.3
779,77,2247.3
780,7,2249.2000000000003
781,446,2251.3
782,152,2251.5
783,211,2261.4
784,16,2268.2000000000003
785,630,2284.1
786,789,2285.7000000000003
787,180,2287.2000000000003
788,219,2288.3
789,632,2290.3
790,153,2291.3
791,96,2294.5
792,52,2296.0
793,176,2299.5
794,84,2305.1
795,458,2305.6
796,536,2306.1
797,162,2306.7000000000003
798,431,2309.0
799,719,2321.1
800,401,2322.4
801,139,2323.4
802,22,2329.6
803,451,2331.0
804,671,2331.4
805,286,2333.3
806,68,2334.9
807,296,2335.1
808,770,2339.0
809,748,2341.6
810,740,2343.2000000000003
811,171,2345.0
812,561,2346.1
813,238,2347.8
814,482,2351.2000000000003
815,410,2355.3
816,781,2361.9
817,429,2362.5
818,206,2367.8
819,635,2369.0
820,358,2369.6
821,695,2371.8
822,652,2373.7000000000003
823,164,2377.3
824,777,2378.2000000000003
825,140,2378.9
826,446,2380.4
827,670,2384.9
828,15,2385.5
829,345,2388.7000000000003
830,688,2389.1
831,287,2391.8
832,774,2392.3
833,294,2393.6
834,781,2403.7000000000003
835,389,2405.1
836,536,2406.0
837,31,2417.8
838,716,2421.5
839,732,2431.0
840,559,2433.3
841,760,2433.7000000000003
842,44,2434.7000000000003
843,667,2437.3
844,177,2438.5
845,469,2441.7000000000003
846,193,2442.8
847,53,2444.0
848,572,2448.2000000000003
849,86,2449.0
850,345,2449.5
851,481,2449.6
852,253,2450.2000000000003
853,347,2452.2000000000003
854,738,2454.0
855,125,2462.4
856,223,2464.0
857,383,2470.0
858,587,2479.5
859,625,2479.5
860,711,2482.1
861,532,2483.1
862,260,2486.7000000000003
