,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.5
7,70.0,0.0,0.5
8,80.0,0.5,1.0
9,90.0,1.5,0.5
10,100.0,4.5,3.0
11,110.0,0.5,4.0
12,120.0,2.5,9.0
13,130.0,2.0,7.000000000000001
14,140.0,4.0,9.5
15,150.0,2.0,10.499999999999998
16,160.0,3.0,10.0
17,170.0,1.5,6.500000000000001
18,180.0,6.0,11.5
19,190.0,3.5000000000000004,14.499999999999998
20,200.0,1.5,3.0
21,210.0,5.5,12.0
22,220.0,3.5000000000000004,7.000000000000001
23,230.0,4.5,10.499999999999998
24,240.0,6.0,23.0
25,250.0,2.5,6.0
26,260.0,1.0,10.0
27,270.0,1.0,22.0
28,280.0,2.0,16.5
29,290.0,2.5,10.499999999999998
30,300.0,3.0,28.000000000000004
31,310.0,0.0,9.0
32,320.0,1.5,14.499999999999998
33,330.0,0.5,27.500000000000004
34,340.0,1.0,4.5
35,350.0,1.0,28.999999999999996
36,360.0,0.0,6.500000000000001
37,370.0,0.0,12.0
38,380.0,1.0,29.5
39,390.0,0.0,13.500000000000002
40,400.0,2.0,24.0
41,410.0,0.5,20.0
42,420.0,1.0,24.5
43,430.0,0.0,20.0
44,440.0,0.5,31.0
45,450.0,0.0,8.5
46,460.0,0.5,48.5
47,470.0,0.0,7.000000000000001
48,480.0,0.0,32.5
49,490.0,0.0,17.499999999999996
50,500.0,0.0,23.0
51,510.0,0.0,18.5
52,520.0,0.0,28.499999999999996
53,530.0,0.0,12.5
54,540.0,0.5,31.5
55,550.0,0.0,17.0
56,560.0,0.5,26.000000000000004
57,570.0,0.0,23.0
58,580.0,0.0,22.5
59,590.0,0.0,27.000000000000004
60,600.0,0.0,13.500000000000002
61,610.0,0.0,34.99999999999999
62,620.0,0.0,10.499999999999998
63,630.0,0.0,45.0
64,640.0,0.0,11.5
65,650.0,0.0,27.500000000000004
66,660.0,0.0,18.5
67,670.0,0.0,36.5
