,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,1.0,0.5
7,70.0,0.0,0.5
8,80.0,0.5,1.0
9,90.0,2.0,1.0
10,100.0,5.5,3.0
11,110.0,4.0,1.0
12,120.0,3.5000000000000004,4.5
13,130.0,5.5,2.5
14,140.0,4.5,9.5
15,150.0,5.0,9.0
16,160.0,5.0,5.0
17,170.0,6.0,5.0
18,180.0,8.0,6.0
19,190.0,9.0,11.0
20,200.0,6.500000000000001,1.5
21,210.0,8.0,4.5
22,220.0,10.499999999999998,1.5
23,230.0,9.0,3.5000000000000004
24,240.0,10.499999999999998,7.5
25,250.0,6.0,5.5
26,260.0,3.5000000000000004,5.0
27,270.0,5.5,7.000000000000001
28,280.0,9.5,4.5
29,290.0,12.0,4.0
30,300.0,11.5,7.5
31,310.0,11.5,3.5000000000000004
32,320.0,11.5,5.5
33,330.0,6.500000000000001,4.0
34,340.0,3.5000000000000004,4.0
35,350.0,8.0,10.0
36,360.0,4.5,8.5
37,370.0,8.0,7.5
38,380.0,8.5,14.499999999999998
39,390.0,6.0,7.000000000000001
40,400.0,9.5,7.000000000000001
41,410.0,10.499999999999998,5.0
42,420.0,10.499999999999998,6.0
43,430.0,8.5,3.5000000000000004
44,440.0,9.0,5.5
45,450.0,6.500000000000001,8.0
46,460.0,6.500000000000001,11.0
47,470.0,11.0,10.499999999999998
48,480.0,5.5,9.0
49,490.0,8.0,9.0
50,500.0,5.0,9.0
51,510.0,5.5,8.0
52,520.0,7.5,11.0
53,530.0,2.5,2.5
54,540.0,10.0,5.5
55,550.0,7.5,10.499999999999998
56,560.0,7.000000000000001,6.500000000000001
57,570.0,8.0,2.5
58,580.0,9.5,7.000000000000001
59,590.0,7.000000000000001,4.0
60,600.0,9.0,6.0
61,610.0,14.499999999999998,7.5
62,620.0,8.5,7.000000000000001
63,630.0,9.5,6.0
64,640.0,13.000000000000002,4.0
65,650.0,11.5,5.0
66,660.0,12.0,7.5
