,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.0
7,70.0,0.0,0.5
8,80.0,0.0,1.0
9,90.0,1.5,1.5
10,100.0,3.5000000000000004,2.5
11,110.0,1.5,1.0
12,120.0,3.0,4.5
13,130.0,2.5,3.0
14,140.0,3.5000000000000004,7.000000000000001
15,150.0,4.0,7.000000000000001
16,160.0,7.000000000000001,6.500000000000001
17,170.0,8.5,7.000000000000001
18,180.0,7.5,5.0
19,190.0,7.5,10.0
20,200.0,6.0,2.5
21,210.0,8.0,4.5
22,220.0,8.0,2.0
23,230.0,9.5,2.5
24,240.0,10.0,6.500000000000001
25,250.0,6.0,4.5
26,260.0,3.5000000000000004,6.500000000000001
27,270.0,6.0,7.000000000000001
28,280.0,10.0,5.0
29,290.0,12.0,4.0
30,300.0,12.0,7.5
31,310.0,9.0,3.5000000000000004
32,320.0,6.500000000000001,5.5
33,330.0,8.5,7.5
34,340.0,3.5000000000000004,4.0
35,350.0,8.5,9.0
36,360.0,8.0,7.5
37,370.0,8.0,3.5000000000000004
38,380.0,13.500000000000002,6.0
39,390.0,10.499999999999998,2.5
40,400.0,8.5,3.5000000000000004
41,410.0,15.5,4.0
42,420.0,12.0,3.5000000000000004
43,430.0,12.0,2.0
44,440.0,12.5,3.0
45,450.0,9.0,3.0
46,460.0,19.5,3.5000000000000004
47,470.0,16.0,2.5
48,480.0,18.0,1.5
49,490.0,12.0,3.0
50,500.0,16.5,4.0
51,510.0,18.5,3.0
52,520.0,10.499999999999998,2.5
53,530.0,11.5,1.5
54,540.0,15.5,2.0
55,550.0,12.5,3.0
56,560.0,14.499999999999998,3.5000000000000004
57,570.0,20.999999999999996,1.5
58,580.0,15.0,3.5000000000000004
59,590.0,13.500000000000002,2.0
60,600.0,13.500000000000002,1.0
61,610.0,24.5,1.0
62,620.0,12.0,1.0
63,630.0,26.500000000000004,1.0
64,640.0,12.0,1.5
65,650.0,15.5,2.0
