,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.0
7,70.0,0.0,0.0
8,80.0,0.5,1.0
9,90.0,1.0,1.5
10,100.0,4.5,2.5
11,110.0,1.0,2.5
12,120.0,5.0,8.0
13,130.0,5.0,4.0
14,140.0,5.5,8.5
15,150.0,6.500000000000001,7.5
16,160.0,7.000000000000001,3.5000000000000004
17,170.0,7.000000000000001,5.0
18,180.0,9.0,7.000000000000001
19,190.0,8.0,9.0
20,200.0,4.5,3.0
21,210.0,9.5,6.500000000000001
22,220.0,12.0,3.0
23,230.0,9.5,4.5
24,240.0,10.0,7.000000000000001
25,250.0,6.0,4.5
26,260.0,4.5,6.500000000000001
27,270.0,6.0,8.0
28,280.0,9.5,5.5
29,290.0,8.5,3.0
30,300.0,11.5,6.500000000000001
31,310.0,8.5,3.5000000000000004
32,320.0,4.5,3.0
33,330.0,9.0,6.0
34,340.0,4.0,5.0
35,350.0,8.5,6.0
36,360.0,7.5,7.5
37,370.0,8.0,5.0
38,380.0,6.500000000000001,14.499999999999998
39,390.0,7.5,8.5
40,400.0,4.0,7.5
41,410.0,10.0,9.0
42,420.0,7.000000000000001,6.0
43,430.0,5.0,4.5
44,440.0,7.000000000000001,5.5
45,450.0,3.5000000000000004,8.0
46,460.0,3.5000000000000004,12.0
47,470.0,3.0,11.5
48,480.0,4.0,15.0
49,490.0,5.5,11.0
50,500.0,3.5000000000000004,14.000000000000002
51,510.0,4.0,13.500000000000002
52,520.0,4.0,14.000000000000002
53,530.0,2.5,6.0
54,540.0,2.0,12.0
55,550.0,4.5,14.000000000000002
56,560.0,2.0,10.0
57,570.0,3.0,10.0
58,580.0,3.5000000000000004,16.0
59,590.0,3.0,19.0
60,600.0,1.0,7.5
61,610.0,2.5,11.0
62,620.0,3.0,18.0
63,630.0,2.0,9.5
64,640.0,3.0,23.5
65,650.0,1.0,16.0
66,660.0,1.0,16.0
67,670.0,2.5,21.5
68,680.0,0.5,15.0
