,time,activity (Hz) pop_A,activity (Hz) pop_B
175,1750.0,12.0,1.0
176,1760.0,12.5,0.0
177,1770.0,9.5,1.5
178,1780.0,13.500000000000002,0.5
179,1790.0,14.000000000000002,3.5000000000000004
180,1800.0,7.000000000000001,1.0
181,1810.0,6.0,1.5
182,1820.0,12.5,1.0
183,1830.0,13.000000000000002,2.0
184,1840.0,10.499999999999998,1.5
185,1850.0,15.5,1.5
186,1860.0,11.0,0.0
187,1870.0,16.0,2.0
188,1880.0,12.5,0.0
189,1890.0,6.500000000000001,1.5
190,1900.0,4.0,0.5
191,1910.0,5.0,2.0
192,1920.0,16.0,0.0
193,1930.0,17.0,2.0
194,1940.0,4.5,0.5
195,1950.0,5.5,1.5
196,1960.0,8.5,2.0
197,1970.0,13.500000000000002,1.5
198,1980.0,7.000000000000001,0.5
199,1990.0,6.0,1.5
200,2000.0,6.0,1.0
201,2010.0,6.500000000000001,0.5
202,2020.0,6.0,0.0
203,2030.0,7.000000000000001,2.5
204,2040.0,9.0,2.0
205,2050.0,10.499999999999998,1.0
206,2060.0,11.0,2.0
207,2070.0,4.0,0.5
208,2080.0,6.500000000000001,1.0
209,2090.0,13.000000000000002,1.5
210,2100.0,7.5,2.0
211,2110.0,16.0,4.5
212,2120.0,13.000000000000002,1.5
213,2130.0,6.0,1.5
214,2140.0,14.000000000000002,1.5
215,2150.0,12.0,0.5
216,2160.0,2.5,0.5
217,2170.0,5.5,2.5
218,2180.0,8.5,2.0
219,2190.0,7.5,3.0
220,2200.0,8.5,1.5
221,2210.0,12.5,0.5
222,2220.0,12.5,4.0
223,2230.0,5.5,1.0
224,2240.0,8.5,1.0
225,2250.0,7.5,0.5
226,2260.0,7.000000000000001,3.5000000000000004
227,2270.0,10.0,2.5
228,2280.0,10.499999999999998,2.0
229,2290.0,8.0,0.5
230,2300.0,10.499999999999998,3.0
231,2310.0,9.5,1.0
232,2320.0,10.499999999999998,2.0
233,2330.0,9.5,4.0
234,2340.0,9.0,1.5
235,2350.0,5.0,3.0
236,2360.0,9.5,1.0
237,2370.0,10.0,1.0
238,2380.0,12.5,2.0
239,2390.0,9.5,1.0
240,2400.0,5.5,1.5
241,2410.0,7.000000000000001,0.0
242,2420.0,7.5,0.0
243,2430.0,7.5,3.0
244,2440.0,3.5000000000000004,1.5
245,2450.0,8.5,3.0
246,2460.0,7.000000000000001,0.5
247,2470.0,7.000000000000001,2.0
248,2480.0,6.500000000000001,2.0
249,2490.0,3.5000000000000004,2.5
