,ID neuron pop_A,event time pop_A
0,337,65.4
1,276,65.6
2,423,85.8
3,31,89.3
4,519,91.7
5,570,95.5
6,585,96.5
7,439,98.0
8,460,100.5
9,445,103.4
10,651,103.7
11,162,104.5
12,288,105.60000000000001
13,747,105.9
14,534,106.60000000000001
15,584,108.60000000000001
16,704,108.8
17,69,108.9
18,140,109.3
19,514,110.7
20,154,112.7
21,199,113.5
22,665,115.2
23,539,115.9
24,482,116.4
25,211,120.10000000000001
26,210,122.60000000000001
27,131,123.7
28,750,123.7
29,612,124.7
30,452,125.10000000000001
31,781,126.8
32,28,128.6
33,107,131.4
34,29,132.4
35,619,132.5
36,52,133.6
37,698,136.1
38,620,137.20000000000002
39,740,137.9
40,581,138.1
41,168,138.70000000000002
42,326,139.9
43,24,140.4
44,15,146.1
45,694,146.3
46,217,147.3
47,145,147.6
48,434,148.0
49,590,148.3
50,80,149.0
51,111,151.1
52,414,151.8
53,487,152.70000000000002
54,206,153.4
55,520,154.4
56,681,156.20000000000002
57,67,156.9
58,176,157.5
59,329,157.9
60,370,158.70000000000002
61,515,158.70000000000002
62,548,159.3
63,507,159.70000000000002
64,786,160.20000000000002
65,610,160.9
66,38,161.20000000000002
67,538,161.20000000000002
68,212,163.5
69,729,165.0
70,216,165.20000000000002
71,646,165.20000000000002
72,66,165.6
73,30,166.1
74,17,166.70000000000002
75,395,167.3
76,231,167.6
77,710,167.70000000000002
78,634,168.20000000000002
79,521,168.3
80,292,168.5
81,762,168.6
82,299,170.6
83,326,171.0
84,470,171.0
85,517,171.20000000000002
86,51,171.6
87,26,171.70000000000002
88,595,172.4
89,490,173.1
90,106,173.5
91,667,174.5
92,799,175.3
93,502,175.6
94,188,176.1
95,642,177.70000000000002
96,311,178.1
97,87,178.3
98,50,178.8
99,465,179.1
100,525,179.6
101,508,180.3
102,385,180.8
103,380,181.1
104,609,181.1
105,725,181.6
106,389,182.20000000000002
107,391,182.4
108,74,183.20000000000002
109,444,183.8
110,124,184.20000000000002
111,625,184.6
112,504,184.8
113,570,185.4
114,267,185.8
115,783,185.8
116,598,186.0
117,332,186.3
118,563,186.8
119,273,187.0
120,279,187.1
121,179,187.20000000000002
122,353,188.0
123,64,188.9
124,11,189.9
125,157,190.1
126,674,190.20000000000002
127,181,190.6
128,491,191.1
129,172,191.20000000000002
130,758,191.4
131,398,191.5
132,582,191.5
133,492,192.0
134,352,192.1
135,282,192.20000000000002
136,21,192.9
137,549,193.3
138,24,193.4
139,789,193.5
140,767,194.3
141,59,194.5
142,195,194.6
143,151,194.70000000000002
144,250,195.3
145,568,195.3
146,371,195.5
147,728,195.6
148,770,195.9
149,716,196.0
150,91,196.1
151,426,196.5
152,280,196.6
153,547,196.6
154,488,196.70000000000002
155,360,197.20000000000002
156,167,197.6
157,552,197.6
158,169,197.8
159,576,199.0
160,777,199.0
161,501,199.4
162,484,200.8
163,111,201.5
164,675,203.3
165,265,203.4
166,749,204.20000000000002
167,591,204.5
168,302,204.70000000000002
169,662,205.1
170,73,205.3
171,148,205.8
172,695,206.70000000000002
173,726,207.1
174,319,207.3
175,701,207.70000000000002
176,313,210.8
177,446,210.8
178,483,210.8
179,565,212.3
180,136,212.8
181,224,213.70000000000002
182,784,214.5
183,65,214.70000000000002
184,746,215.0
185,278,215.1
186,415,215.1
187,123,215.20000000000002
188,764,215.5
189,422,215.6
190,456,215.8
191,298,217.0
192,649,217.0
193,390,217.9
194,671,218.4
195,177,218.6
196,725,219.8
197,264,220.1
198,561,221.3
199,403,221.5
200,235,222.6
201,678,223.1
202,406,223.4
203,419,223.70000000000002
204,606,223.9
205,699,225.0
206,722,225.8
207,665,226.1
208,102,226.6
209,133,226.8
210,211,226.8
211,647,227.0
212,92,227.5
213,587,228.1
