,ID neuron pop_B,event time pop_B
0,1033,87.0
1,941,100.4
2,1574,101.9
3,808,104.2
4,814,109.2
5,1350,109.4
6,974,109.9
7,1155,111.9
8,1260,114.2
9,1351,115.4
10,1017,120.10000000000001
11,1456,122.0
12,893,122.5
13,1180,123.60000000000001
14,968,124.2
15,878,124.5
16,1553,125.0
17,1139,125.2
18,1342,125.9
19,1179,127.2
20,932,128.2
21,997,129.7
22,1371,129.7
23,1176,130.4
24,982,130.5
25,1282,131.4
26,1213,136.9
27,1199,138.20000000000002
28,1231,138.5
29,1437,138.6
30,1352,140.20000000000002
31,1137,141.0
32,860,141.5
33,1006,141.5
34,1115,142.0
35,1237,142.4
36,1178,143.70000000000002
37,904,143.8
38,1129,144.4
39,976,145.4
40,1365,145.70000000000002
41,1428,145.9
42,913,147.0
43,1320,147.5
44,1461,148.20000000000002
45,1049,148.9
46,1360,149.4
47,1501,149.4
48,1444,149.6
49,1533,149.8
50,1582,150.3
51,1076,150.6
52,889,150.8
53,1314,151.1
54,1036,151.20000000000002
55,1042,152.20000000000002
56,832,153.8
57,1402,153.9
58,1167,154.1
59,1334,154.5
60,1324,154.6
61,1154,155.8
62,1014,156.0
63,1275,156.20000000000002
64,1546,157.3
65,1140,157.70000000000002
66,974,158.0
67,1223,158.0
68,925,159.1
69,1423,159.5
70,1445,159.5
71,1532,161.3
72,1158,161.5
73,1375,162.0
74,999,162.3
75,1579,163.4
76,852,164.1
77,1282,164.1
78,947,166.0
79,1131,167.1
80,955,167.3
81,977,167.5
82,1096,168.20000000000002
83,1473,169.20000000000002
84,1537,169.8
85,1235,169.9
86,1169,170.1
87,1558,170.70000000000002
88,1156,170.8
89,1332,171.0
90,1083,171.6
91,854,171.70000000000002
92,1420,173.3
93,939,173.4
94,972,174.5
95,836,175.4
96,1476,177.0
97,1038,177.5
98,1195,177.70000000000002
99,828,178.4
100,1203,178.6
101,875,179.4
102,1576,180.20000000000002
103,938,181.1
104,1229,182.5
105,946,184.0
106,1011,184.70000000000002
107,1232,185.6
108,1353,185.8
109,1284,186.6
110,1595,186.9
111,1561,187.0
112,886,187.4
113,1499,187.70000000000002
114,1086,188.1
115,1515,188.9
116,1100,189.8
117,1319,189.9
118,830,190.3
119,1113,190.4
120,1517,190.4
121,1051,190.70000000000002
122,993,190.9
123,931,191.0
124,865,192.0
125,1379,192.4
126,959,192.6
127,1374,192.70000000000002
128,1380,192.70000000000002
129,805,192.8
130,1314,193.20000000000002
131,819,194.1
132,1371,194.20000000000002
133,1123,194.5
134,920,194.6
135,1233,194.70000000000002
136,1290,195.9
137,922,196.0
138,1337,197.0
139,1589,197.70000000000002
140,1248,198.1
141,1520,198.8
142,915,199.1
143,1318,199.20000000000002
144,923,202.6
145,1184,205.5
146,1516,205.6
147,1258,208.20000000000002
148,1432,208.3
149,1255,209.8
150,953,210.9
151,1282,210.9
152,1306,211.8
153,927,212.3
154,1225,213.1
155,1203,213.20000000000002
156,1397,213.20000000000002
157,1291,214.5
158,811,215.20000000000002
159,1094,215.3
160,909,215.9
161,1121,216.4
162,1384,217.4
163,1031,217.6
164,801,218.3
165,1495,219.9
166,1446,221.0
167,1154,221.3
168,1168,221.3
169,1029,222.0
170,1195,222.9
171,1300,223.4
172,1277,223.8
173,1131,225.5
174,823,226.0
175,1009,226.8
176,1234,228.6
177,965,229.1
178,1010,229.4
179,990,230.3
180,951,231.3
181,1257,231.8
182,1116,232.0
183,1542,232.0
184,1128,232.6
185,1439,233.3
186,1089,234.20000000000002
187,1189,235.70000000000002
188,1405,236.4
189,1233,236.8
190,1122,237.6
191,1531,237.70000000000002
192,870,239.8
193,868,240.5
194,813,240.70000000000002
195,1188,240.70000000000002
196,1348,243.1
197,1592,244.4
198,999,244.8
199,1389,245.3
200,840,245.4
201,1042,245.8
202,1379,247.0
203,941,247.5
204,1295,247.5
205,1362,247.8
206,1330,248.1
207,879,248.3
208,938,249.0
209,1061,249.20000000000002
210,885,249.3
211,968,249.3
212,1209,249.4
213,1468,249.5
214,1274,249.6
215,1190,250.4
216,806,250.70000000000002
217,1585,250.70000000000002
218,1326,250.9
219,1387,251.1
220,1534,251.1
221,1210,251.20000000000002
222,1436,251.9
223,1206,253.70000000000002
224,1153,253.8
