,ID neuron pop_B,event time pop_B
0,1183,65.9
1,950,85.60000000000001
2,1033,85.7
3,1262,96.0
4,1574,96.7
5,1456,98.9
6,941,99.4
7,808,103.2
8,974,107.9
9,814,108.3
10,1350,108.60000000000001
11,1155,109.2
12,1260,114.2
13,1351,116.60000000000001
14,1017,120.10000000000001
15,878,125.4
16,1139,127.8
17,1176,132.1
18,982,132.9
19,1282,134.2
20,997,134.9
21,1213,138.3
22,1231,140.9
23,1437,141.0
24,1352,142.1
25,860,144.4
26,904,144.9
27,976,147.3
28,1428,147.5
29,889,152.8
30,1501,152.9
31,1582,152.9
32,1129,153.4
33,1402,155.4
34,1167,156.20000000000002
35,1275,157.1
36,832,157.6
37,1334,157.6
38,1324,159.9
39,1445,161.5
40,1423,166.5
41,947,169.3
42,1558,174.20000000000002
43,1332,178.1
44,955,180.0
45,828,186.20000000000002
46,1353,187.70000000000002
47,1232,190.6
48,1314,190.70000000000002
49,1515,192.9
50,1051,199.9
51,922,205.1
52,1203,208.70000000000002
53,923,210.1
54,1094,217.5
55,1225,224.20000000000002
56,990,236.5
57,1116,236.8
58,1233,238.6
59,1592,250.0
60,1295,250.8
61,868,252.3
62,941,255.1
63,879,258.5
64,1028,269.8
65,920,270.8
66,982,272.9
67,876,276.1
68,1585,276.40000000000003
69,882,278.0
70,1022,280.3
71,1162,282.1
72,817,286.40000000000003
73,1178,290.2
74,925,294.40000000000003
75,1109,304.40000000000003
76,830,306.1
77,975,313.0
78,856,323.8
79,1400,344.90000000000003
80,1496,353.3
81,1544,363.2
82,1476,381.7
83,1135,417.8
84,1228,425.8
85,1124,446.90000000000003
86,840,449.90000000000003
87,1199,454.7
88,1373,471.40000000000003
89,945,499.5
90,1416,511.3
91,1533,619.8000000000001
92,1051,731.5
93,1325,992.3000000000001
94,828,1007.4
95,1160,1092.4
96,1247,1103.5
97,868,1108.6000000000001
98,1506,1171.0
99,1391,1174.7
100,1180,1191.6000000000001
101,1136,1227.8
102,1520,1232.2
103,1048,1242.7
104,1040,1269.5
105,1018,1296.8
106,885,1302.5
107,973,1323.2
108,1524,1327.1000000000001
109,983,1330.2
