,time,activity (Hz) pop_A,activity (Hz) pop_B
200,2000.0,0.5,13.500000000000002
201,2010.0,0.5,11.0
202,2020.0,0.5,12.0
203,2030.0,1.0,15.0
204,2040.0,0.0,8.5
205,2050.0,1.0,13.500000000000002
206,2060.0,1.0,21.5
207,2070.0,0.0,10.0
208,2080.0,0.5,12.0
209,2090.0,0.0,20.499999999999996
210,2100.0,0.5,18.0
211,2110.0,0.0,14.499999999999998
212,2120.0,1.0,15.5
213,2130.0,0.0,4.0
214,2140.0,2.0,10.499999999999998
215,2150.0,0.5,9.0
216,2160.0,1.0,7.5
217,2170.0,1.5,11.0
218,2180.0,1.5,22.5
219,2190.0,1.5,10.0
220,2200.0,0.0,12.0
221,2210.0,0.5,10.0
222,2220.0,3.5000000000000004,9.5
223,2230.0,2.5,10.499999999999998
224,2240.0,2.5,10.499999999999998
225,2250.0,1.0,13.000000000000002
226,2260.0,0.0,15.5
227,2270.0,0.5,12.5
228,2280.0,1.0,10.0
229,2290.0,2.0,11.5
230,2300.0,1.5,8.5
231,2310.0,0.5,12.5
232,2320.0,2.0,11.0
233,2330.0,1.0,12.0
234,2340.0,2.0,9.5
235,2350.0,1.0,9.0
236,2360.0,1.5,6.500000000000001
237,2370.0,0.5,13.000000000000002
238,2380.0,3.0,16.5
239,2390.0,2.0,11.5
240,2400.0,1.0,11.5
241,2410.0,0.0,6.500000000000001
242,2420.0,1.0,7.000000000000001
243,2430.0,1.5,12.0
244,2440.0,1.0,12.0
245,2450.0,2.5,13.000000000000002
246,2460.0,0.5,9.0
247,2470.0,1.5,13.000000000000002
248,2480.0,1.0,14.499999999999998
249,2490.0,0.0,10.0
