,time,activity (Hz) pop_A,activity (Hz) pop_B
0,0.0,0.0,0.0
1,10.0,0.0,0.0
2,20.0,0.0,0.0
3,30.0,0.0,0.0
4,40.0,0.0,0.0
5,50.0,0.0,0.0
6,60.0,0.5,0.0
7,70.0,0.0,0.0
8,80.0,0.5,0.5
9,90.0,2.0,0.0
10,100.0,5.0,3.0
11,110.0,4.0,2.0
12,120.0,3.5000000000000004,2.0
13,130.0,3.0,4.0
14,140.0,3.5000000000000004,6.500000000000001
15,150.0,1.5,7.5
16,160.0,3.5000000000000004,3.0
17,170.0,4.5,7.000000000000001
18,180.0,3.5000000000000004,8.5
19,190.0,6.0,12.0
20,200.0,1.0,4.0
21,210.0,3.5000000000000004,12.0
22,220.0,3.5000000000000004,8.5
23,230.0,3.5000000000000004,10.0
24,240.0,5.0,24.5
25,250.0,2.5,7.000000000000001
26,260.0,2.0,11.0
27,270.0,1.0,24.0
28,280.0,2.0,14.000000000000002
29,290.0,2.5,11.0
30,300.0,3.0,22.5
31,310.0,0.5,9.5
32,320.0,2.0,11.0
33,330.0,1.5,22.5
34,340.0,0.0,12.0
35,350.0,1.5,28.000000000000004
36,360.0,0.0,9.0
37,370.0,0.0,20.999999999999996
38,380.0,1.0,26.000000000000004
39,390.0,0.0,12.0
40,400.0,1.5,25.500000000000004
41,410.0,0.5,16.0
42,420.0,1.0,25.500000000000004
43,430.0,0.5,24.5
44,440.0,0.5,28.499999999999996
45,450.0,0.0,11.5
46,460.0,0.5,43.5
47,470.0,0.0,9.0
48,480.0,0.0,33.0
49,490.0,0.0,19.0
50,500.0,0.0,20.999999999999996
51,510.0,0.0,24.5
52,520.0,0.0,26.000000000000004
53,530.0,0.0,18.5
54,540.0,0.5,32.5
55,550.0,0.5,24.0
56,560.0,0.0,29.5
57,570.0,0.0,17.0
58,580.0,0.0,31.0
59,590.0,0.0,20.0
60,600.0,0.0,18.0
61,610.0,0.0,33.5
62,620.0,0.0,10.0
63,630.0,0.0,47.5
64,640.0,0.0,9.0
65,650.0,0.0,36.5
66,660.0,0.0,13.500000000000002
67,670.0,0.0,37.5
68,680.0,0.0,7.000000000000001
